station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Okhla Phase-2 Delhi DPCC,24,6,23,22,17,5,6,0.7727272727272727,0.7391304347826086,0.7555555555555555,3.2,10,5.764705882352941,17,5.285714285714286,7,2.2222222222222223,9
Patparganj Delhi DPCC,1,2,102,95,85,10,17,0.8947368421052632,0.8333333333333334,0.8629441624365481,2.4166666666666665,72,4.364705882352941,85,1.6885245901639345,61,1.3287671232876712,73
Patparganj Delhi DPCC,1,3,85,78,70,8,15,0.8974358974358975,0.8235294117647058,0.8588957055214724,2.6724137931034484,58,5.128571428571429,70,1.8333333333333333,48,1.4576271186440677,59
Patparganj Delhi DPCC,1,6,55,53,48,5,7,0.9056603773584906,0.8727272727272727,0.8888888888888888,3.475,40,6.854166666666667,48,2.088235294117647,34,1.7073170731707317,41
Patparganj Delhi DPCC,6,2,105,83,54,29,51,0.6506024096385542,0.5142857142857142,0.5744680851063829,8.4375,32,8.148148148148149,54,8.521739130434783,23,3.6176470588235294,34
Patparganj Delhi DPCC,6,3,85,67,48,19,37,0.7164179104477612,0.5647058823529412,0.631578947368421,9.25,28,9.0,48,8.761904761904763,21,3.9,30
Patparganj Delhi DPCC,6,6,51,42,29,13,22,0.6904761904761905,0.5686274509803921,0.6236559139784946,11.227272727272727,22,13.448275862068966,29,9.61111111111111,18,4.681818181818182,22
Patparganj Delhi DPCC,12,2,110,79,58,21,52,0.7341772151898734,0.5272727272727272,0.6137566137566137,7.157894736842105,38,7.5,58,8.206896551724139,29,4.617647058823529,34
Patparganj Delhi DPCC,12,3,93,69,48,21,45,0.6956521739130435,0.5161290322580645,0.5925925925925926,8.580645161290322,31,8.708333333333334,48,9.521739130434783,23,5.36,25
Patparganj Delhi DPCC,12,6,55,53,39,14,16,0.7358490566037735,0.7090909090909091,0.7222222222222221,10.0,25,9.794871794871796,39,8.952380952380953,21,4.739130434782608,23
